state,year,cpi,pop,packpc,income,tax,avgprs,taxs
MO,1993,1.445,5237757,119.44044,106298472,35,149.98967,36.35634
MS,1993,1.445,2635574,103.01361,40767848,40,176.84424,51.56925
MT,1993,1.445,839876,81.55966,15178490,41.155,163.30501,41.155
NC,1993,1.445,6947412,124.92422,139239264,27,148.616,32.716
ND,1993,1.445,637229,82.85875,11361715,51,180.17351,61.1985
NE,1993,1.445,1612149,89.19771,32512656,49,176.7675,57.4175
NH,1993,1.445,1122191,149.52892,25272604,47,167.175,47
NJ,1993,1.445,7874891,81.7916,213418800,62,203.45816,73.5165
NM,1993,1.445,1614937,65.57531,27818748,37,168.3325,45.01583
NV,1993,1.445,1380197,97.3774,32385668,57,206.16225,70.48725
NY,1993,1.445,18140894,77.91788,464200544,62.41667,205.13133,70.30634
OH,1993,1.445,11070385,106.84362,232462848,43,162.82875,50.75375
OK,1993,1.445,3228829,83.96233,58394696,45,179.5325,53.54917
OR,1993,1.445,3034490,93.09637,61916252,50,180.77499,50
PA,1993,1.445,12022128,93.86857,267020432,53,178.58351,63.1085
RI,1993,1.445,997852,95.10429,22089772,59,188.92632,71.35966
SC,1993,1.445,3634507,111.6245,64711452,29,156.8175,36.4675
SD,1993,1.445,716258,89.07405,13297460,45,171.45267,51.59433
TN,1993,1.445,5085666,116.50391,100393936,35,170.91899,47.66067
TX,1993,1.445,17996764,77.60284,356784352,63,199.8895,74.3145
UT,1993,1.445,1875993,52.07909,31950464,48.5,176.68875,56.91375
VA,1993,1.445,6464795,102.12234,147223168,24.5,168,32.5
VT,1993,1.445,574004,116.02707,11356945,42,173.4425,50.25917
WA,1993,1.445,5247704,74.60406,117620616,56,214.54391,70.03558
WI,1993,1.445,5055318,88.63933,104337360,60,194.57375,69.26542
WV,1993,1.445,1816179,111.99337,30374522,39,165.86351,48.3885
WY,1993,1.445,469033,103.83065,9515136,34,155.19165,34
AL,1994,1.482,4232965,103.42632,79832152,40.5,156.27557,41.88392
AR,1994,1.482,2540605,101.62934,43498008,55.5,176.015,63.88167
AZ,1994,1.482,4147561,72.8621,82014176,42,170.69499,50.12833
CA,1994,1.482,31317180,57.866,735104448,60,206.43867,73.50533
CO,1994,1.482,3653910,82.1312,85859736,44,159.61667,44
CT,1994,1.482,3268346,77.62336,99787808,71,215.95734,83.224
DE,1994,1.482,708416,121.67992,17377776,48,157.28333,48
FL,1994,1.482,13961798,90.46829,311908864,57.9,182.94717,68.2555
GA,1994,1.482,7045900,102.66964,149165088,36,152.69301,37.393
IA,1994,1.482,2829422,91.6795,57998884,60,184.625,68.79166
ID,1994,1.482,1135459,83.84274,21399344,42,159.8625,49.6125
IL,1994,1.482,11804986,83.60027,288509472,68.00001,194.94283,79.03451
IN,1994,1.482,5745626,124.8602,121537088,39.5,153.74625,46.82125
KS,1994,1.482,2569118,86.95591,54856808,48,171.31624,56.15792
KY,1994,1.482,3823215,164.80893,70781360,27,142.00467,35.038
LA,1994,1.482,4306500,103.61082,80871536,44,162.72534,50.25867
MA,1994,1.482,6031352,77.22978,161885984,75,209.44876,84.97375
MD,1994,1.482,4985411,79.69253,129848496,60,183.80251,68.7525
ME,1994,1.482,1237687,102.36837,24173868,61,193.07899,71.929
MI,1994,1.482,9584481,110.51198,219120752,57.33333,179.53925,58.78091
MN,1994,1.482,4566028,81.36174,107151552,72,213.63441,85.97608
MO,1994,1.482,5281206,117.24595,112313768,40,149.1601,41.31842
MS,1994,1.482,2663450,103.13691,44077268,42,166.0105,52.8605
MT,1994,1.482,854923,82.58054,15499025,42.105,153.79666,42.105
NC,1994,1.482,7060959,108.15812,147792512,29,145.21866,34.58533
ND,1994,1.482,639762,80.34238,12176830,68,190.535,78.785
NE,1994,1.482,1621551,84.05533,34325416,58,178.75375,66.51208
NH,1994,1.482,1133054,155.15588,26989736,49,161.35834,49
NJ,1994,1.482,7918796,80.49203,220817408,64,196.90382,75.1455
NM,1994,1.482,1653329,64.41549,29670304,45,169.44376,53.06875
NV,1994,1.482,1456388,93.99968,35877512,59,203.68343,72.32508
NY,1994,1.482,18156652,71.64867,478586304,80,218.67732,88.41067
OH,1994,1.482,11111451,106.67374,245156112,48,161.455,55.68833
OK,1994,1.482,3246119,101.96792,60799744,47,170.16125,55.10292
OR,1994,1.482,3087142,91.08749,66129688,57.83333,182.85001,57.83333
PA,1994,1.482,12042545,94.78063,275336928,55,169.812,64.612
RI,1994,1.482,993412,93.61674,22612016,68,198.63658,80.99492
SC,1994,1.482,3666456,109.0699,68510824,31,146.60625,37.98125
SD,1994,1.482,723038,91.97304,14176712,47,165.24733,53.35567
TN,1994,1.482,5163016,114.13871,106855208,37,164.02499,49.15
TX,1994,1.482,18338320,74.91417,377582624,65,192.87582,75.9175
UT,1994,1.482,1930436,51.12835,34578712,50.5,173.565,58.765
VA,1994,1.482,6536771,103.1549,154981632,26.5,164.9375,34.35417
VT,1994,1.482,578900,118.84608,11897987,44,167.88625,51.99458
WA,1994,1.482,5334896,68.19252,123337472,78,237.37059,93.52892
WI,1994,1.482,5095504,91.61018,110569688,62,193.28751,71.20417
WV,1994,1.482,1818490,102.22767,31666084,41,163.24883,50.2405
WY,1994,1.482,474982,105.89875,9954215,36,150.66666,36
AL,1995,1.524,4262731,101.08543,83903280,40.5,158.37134,41.90467
AR,1995,1.524,2480121,111.04297,45995496,55.5,175.54251,63.85917
AZ,1995,1.524,4306908,71.95417,88870496,65.33333,198.6075,74.79082
CA,1995,1.524,31493524,56.85931,771470144,61,210.50467,74.77133
CO,1995,1.524,3738061,82.58292,92946544,44,167.35001,44
CT,1995,1.524,3265293,79.47219,104315120,74,218.2805,86.3555
DE,1995,1.524,718265,124.4666,18237436,48,165.60001,48
FL,1995,1.524,14185403,93.07455,333525344,57.9,187.71718,68.52551
GA,1995,1.524,7188538,97.47462,159800448,36,156.57307,37.43142
IA,1995,1.524,2840860,92.4016,60170928,60,190.89,69.09
ID,1995,1.524,1165000,74.84978,22868920,52,179.63751,60.55417
IL,1995,1.524,11884935,83.26508,304767456,68.00001,198.47617,79.2345
IN,1995,1.524,5791819,134.25835,126525008,39.5,154.53375,46.85875
KS,1995,1.524,2586942,88.75344,56626672,48,175.21001,56.34333
KY,1995,1.524,3855248,172.64778,74079712,27,145.97968,35.263
LA,1995,1.524,4327978,105.17613,84572688,44,167.79535,50.45367
MA,1995,1.524,6062335,76.62064,170051568,75,217.10501,85.33833
MD,1995,1.524,5023650,77.47355,135115456,60,186.03375,68.85875
ME,1995,1.524,1237438,102.46978,25045934,61,197.23065,72.164
MI,1995,1.524,9659871,81.38825,231594240,99,240.84967,112.633
MN,1995,1.524,4605445,82.9453,113216856,72,220.34866,86.41534
MO,1995,1.524,5324610,122.45028,117639672,41,157.23009,42.38842
MS,1995,1.524,2690788,105.58245,46241956,42,169.2294,53.07108
MT,1995,1.524,868522,87.15957,16296835,42,156.21667,42
NC,1995,1.524,7185403,121.53806,157633568,29,149.994,34.769
ND,1995,1.524,641548,79.80697,12243384,68,192.24867,78.882
NE,1995,1.524,1635142,87.27071,36293064,58,182.175,66.675
NH,1995,1.524,1145604,156.33675,28649564,49,166.64166,49
NJ,1995,1.524,7965523,80.37137,233208576,64,203.08717,75.4955
NM,1995,1.524,1682417,64.66887,31716160,45,176.14624,53.38792
NV,1995,1.524,1525777,93.52612,39377292,59,206.59917,72.51583
NY,1995,1.524,18150928,70.81732,503163328,80,221.858,88.533
OH,1995,1.524,11155493,111.3801,255312928,48,165.89125,55.89958
OK,1995,1.524,3265547,108.68011,63333300,47,170.13499,55.10167
OR,1995,1.524,3141421,92.15575,71209312,62,190.3,62
PA,1995,1.524,12044780,95.64309,285923232,55,176.16316,64.9715
RI,1995,1.524,989203,92.5998,23786644,80,224.45924,94.68425
SC,1995,1.524,3699943,108.08275,72050072,31,152.81874,38.27708
SD,1995,1.524,728251,97.21923,14454129,47,168.03799,53.463
TN,1995,1.524,5241168,122.32005,114259984,37,167.067,49.37533
TX,1995,1.524,18679706,73.07931,402096768,65,198.20233,76.219
UT,1995,1.524,1976774,49.2722,37278220,50.5,180.97626,59.11792
VA,1995,1.524,6601392,105.38687,161441792,26.50001,166.66125,34.43626
VT,1995,1.524,582827,122.33475,12448607,44,175.63875,52.36375
WA,1995,1.524,5431024,65.53092,129680832,80.5,239.10934,96.14267
WI,1995,1.524,5137004,92.46635,115959680,62,201.38126,71.58958
WV,1995,1.524,1820560,115.56883,32611268,41,166.51718,50.4255
WY,1995,1.524,478447,112.23814,10293195,36,158.54166,36
